"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainCoPolar) []","dB(GainCrossPolar) []"
25.87,90,-124,-10.9735503670115,-43.3811783182453
25.87,90,-122,-9.83843563787619,-47.3408103105385
25.87,90,-120,-9.29859791732639,-52.0744941199137
25.87,90,-118,-9.40030379463874,-62.9648692067347
25.87,90,-116,-10.126662122238,-51.362909816154
25.87,90,-114,-11.3816280925043,-44.2668521738878
25.87,90,-112,-12.7955620465852,-40.3902675048211
25.87,90,-110,-13.460533392229,-38.1233545061688
25.87,90,-108,-12.7228660796953,-36.9255346659352
25.87,90,-106,-11.2927371019552,-36.5239963505976
25.87,90,-104,-10.0239168223824,-36.7160632611193
25.87,90,-102,-9.23675811748166,-37.2727013989376
25.87,90,-100,-9.0043109946482,-37.9032738408908
25.87,90,-98,-9.34168136629454,-38.3744135230987
25.87,90,-96,-10.2471113781087,-38.7434910869345
25.87,90,-94,-11.6449254508421,-39.3714114538662
25.87,90,-92,-13.1513422154554,-40.7205108128909
25.87,90,-90,-13.7774529934055,-43.1667798378231
25.87,90,-88,-12.9013016696405,-45.5585204942845
25.87,90,-86,-11.3763756346987,-43.217445210079
25.87,90,-84,-10.047137942614,-39.3525240379827
25.87,90,-82,-9.15931881390908,-36.7240307753438
25.87,90,-80,-8.69137962321785,-35.3271638431323
25.87,90,-78,-8.51264539996477,-35.0189624089606
25.87,90,-76,-8.39930525832715,-35.7655467641511
25.87,90,-74,-8.06522976908244,-37.5237378918528
25.87,90,-72,-7.32265009676129,-39.5565510569389
25.87,90,-70,-6.24359757489826,-39.4041421086374
25.87,90,-68,-5.06346673250629,-37.2599510693584
25.87,90,-66,-3.97869072250644,-35.5414203021824
25.87,90,-64,-3.07439045693918,-34.8995772882785
25.87,90,-62,-2.34437213756377,-35.3616521026471
25.87,90,-60,-1.7252642269339,-36.8812689261451
25.87,90,-58,-1.13082193617215,-39.2095249517444
25.87,90,-56,-0.490794285674665,-41.2772155566735
25.87,90,-54,0.218658379088302,-41.7950401920166
25.87,90,-52,0.97494312663292,-41.9297845515339
25.87,90,-50,1.73629387039748,-43.468486931017
25.87,90,-48,2.46946261530726,-48.2954566327925
25.87,90,-46,3.16072637548927,-60.3844000776425
25.87,90,-44,3.81259752748156,-45.6580554260951
25.87,90,-42,4.43491541438784,-40.075302827837
25.87,90,-40,5.03626804392703,-36.9183679004558
25.87,90,-38,5.61833743624755,-34.8478195885387
25.87,90,-36,6.1740239472253,-33.3982005303775
25.87,90,-34,6.68922031669814,-32.3948249612531
25.87,90,-32,7.14705726562452,-31.8025753925839
25.87,90,-30,7.53262001347211,-31.6599311804546
25.87,90,-28,7.83621457725825,-32.0576896979259
25.87,90,-26,8.05421208576817,-33.1563393789305
25.87,90,-24,8.18768697062068,-35.2353633883409
25.87,90,-22,8.23999000099628,-38.5878284041785
25.87,90,-20,8.21486030629235,-40.6725629827654
25.87,90,-18,8.11656289335044,-36.6937660700696
25.87,90,-16,7.95281599859529,-32.6196693551411
25.87,90,-14,7.74012391936345,-29.8568199095774
25.87,90,-12,7.50966677230101,-28.0864786034202
25.87,90,-10,7.30992449975531,-27.0796893447854
25.87,90,-8,7.20036064244159,-26.7113934224097
25.87,90,-6,7.23260258341593,-26.9073424778366
25.87,90,-4,7.42604849969601,-27.6029296705729
25.87,90,-2,7.75575489088786,-28.692966212991
25.87,90,0,8.16301102324173,-29.9573154580594
25.87,90,2,8.57806214359107,-31.0257683171648
25.87,90,4,8.93795513098417,-31.592367394879
25.87,90,6,9.19358107513941,-31.7623377480108
25.87,90,8,9.30973450144207,-31.9070208259295
25.87,90,10,9.26339913699372,-32.2454716014946
25.87,90,12,9.04344544965087,-32.6409905498951
25.87,90,14,8.65355708867487,-32.6303123471051
25.87,90,16,8.12001390719596,-31.9616512902712
25.87,90,18,7.50516862020035,-31.0857809340708
25.87,90,20,6.92122534948636,-30.6644861427956
25.87,90,22,6.52157573182749,-31.194139169047
25.87,90,24,6.43713575001932,-33.2085775317444
25.87,90,26,6.68381492731811,-37.9119600016874
25.87,90,28,7.1477635949368,-45.5790311672179
25.87,90,30,7.6686883799058,-37.3354513054662
25.87,90,32,8.11654634624254,-32.7855485224625
25.87,90,34,8.4100450997231,-30.9610914999211
25.87,90,36,8.50373325039136,-30.9017820613237
25.87,90,38,8.372032169943,-32.4477942452877
25.87,90,40,7.99938685835359,-35.9435887061643
25.87,90,42,7.37708337359106,-42.8464955066463
25.87,90,44,6.50660084528296,-52.5217883933479
25.87,90,46,5.41212948265846,-44.5577631003228
25.87,90,48,4.16908534682795,-42.2865904955118
25.87,90,50,2.95191202613465,-40.6535949654332
25.87,90,52,2.05671838813231,-37.2975347500631
25.87,90,54,1.76260142858831,-34.0143016987678
25.87,90,56,2.06385678141696,-31.7722840118316
25.87,90,58,2.68258427055315,-30.5391786495875
25.87,90,60,3.33973095001441,-30.1289267328586
25.87,90,62,3.88148794706477,-30.3441992791659
25.87,90,64,4.25199043150152,-30.9547012325895
25.87,90,66,4.44545412983612,-31.6766443816305
25.87,90,68,4.47699677975635,-32.2399224044884
25.87,90,70,4.36750255932304,-32.5388776353217
25.87,90,72,4.13529545661662,-32.6705867941655
25.87,90,74,3.79130671951135,-32.7955048237956
25.87,90,76,3.33674177058344,-33.0215729058922
25.87,90,78,2.76281059513033,-33.3924636021135
25.87,90,80,2.05180634917408,-33.9121298448761
25.87,90,82,1.17851417987598,-34.5567973172323
25.87,90,84,0.110949761035005,-35.270256807646
25.87,90,86,-1.19033424431471,-35.9633686313474
25.87,90,88,-2.77476599698641,-36.5494763446411
25.87,90,90,-4.70518187539276,-37.0168542324295
25.87,90,92,-7.05403285043325,-37.467461126746
25.87,90,94,-9.84478107715947,-38.0612029958937
25.87,90,96,-12.7169491533819,-38.9000350328067
25.87,90,98,-14.1548837119504,-39.8791139031115
25.87,90,100,-13.2017253045818,-40.553966935365
25.87,90,102,-11.5393727734208,-40.4782924069524
25.87,90,104,-10.2479883411273,-39.9763452682507
25.87,90,106,-9.47237432004438,-39.8605722375773
25.87,90,108,-9.10326030865028,-40.8534333518601
25.87,90,110,-8.95536630936603,-43.9325951271613
25.87,90,112,-8.83525732103883,-53.1864484293839
25.87,90,114,-8.65944207535554,-50.6725855568066
25.87,90,116,-8.53840399649284,-42.0138202417324
25.87,90,118,-8.70959820870032,-38.4392351219867
25.87,90,120,-9.42048232286174,-36.7737723387352
25.87,90,122,-10.8811137771011,-36.0140735670444
25.87,90,124,-13.2247626132174,-35.3082079544484
25.87,90,126,-16.1325249946914,-34.1510335120079
25.87,90,128,-17.5222694903127,-32.8876370020744
25.87,90,130,-15.8600235421807,-32.1365810343651
25.87,90,132,-13.296205665293,-32.2809911962215
25.87,90,134,-10.8013391501677,-33.5440854525131
25.87,90,136,-8.56752347554352,-36.0388516607487
25.87,90,138,-6.80678316300172,-38.9805577176706
25.87,90,140,-5.68896637771947,-39.1463413966372
25.87,90,142,-5.29778305505347,-37.3272266615873
25.87,90,144,-5.64093275868514,-36.3500252496836
25.87,90,146,-6.59207010069841,-36.5426339954707
25.87,90,148,-7.66309976166878,-37.530062508732
25.87,90,150,-7.90860293324269,-38.6532140357741
25.87,90,152,-7.02659629229911,-39.189894317471
